player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
2,1,3,6,0,3,2,4,10,4,14,2,7,0,0,8,24.0,33.6
3,0,5,1,0,6,1,5,15,5,11,1,4,4,4,2,9.0,22.33333333333333
4,1,1,3,0,2,1,2,11,4,8,1,4,2,3,0,23.0,20.183333333333337
9,1,7,2,1,0,0,8,8,3,7,0,2,2,2,0,16.0,22.150000000000006
13,3,1,1,1,3,4,4,11,4,12,0,2,3,4,3,16.0,23.949999999999996
11,4,5,0,2,0,1,9,4,2,4,0,1,0,0,2,3.0,15.583333333333337
5,0,0,1,0,2,1,0,2,1,5,0,4,0,0,0,-1.0,9.3
8,2,0,2,0,1,0,2,4,1,4,0,2,2,2,1,5.0,18.283333333333335
1,0,1,0,0,1,0,1,0,0,4,0,3,0,0,0,3.0,10.433333333333334
10,0,3,3,1,1,1,3,8,1,3,1,2,5,7,0,9.0,15.266666666666662
12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,3.0500000000000007
7,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3.0,5.866666666666665
