player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
1,1,2,0,0,0,1,3,2,1,7,0,2,0,0,2,-1.0,24.4
2,2,5,3,0,1,2,7,22,6,16,2,5,8,12,5,1.0,34.88333333333333
4,1,2,2,0,1,2,3,2,1,9,0,5,0,0,1,-3.0,23.516666666666666
9,4,8,2,2,1,0,12,6,3,8,0,3,0,0,2,-1.0,21.78333333333333
11,2,4,2,2,1,2,6,7,3,6,0,1,1,2,2,8.0,20.833333333333332
5,0,4,3,0,2,4,4,0,0,3,0,2,0,0,2,10.0,20.716666666666665
8,2,1,1,0,0,2,3,7,3,7,1,3,0,0,2,10.0,21.96666666666667
10,1,5,3,0,1,4,6,4,1,5,0,2,2,4,1,1.0,18.9
12,1,1,0,0,0,0,2,6,3,8,0,1,0,2,0,0.0,13.0
