player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
2,3,1,4,0,2,3,4,26,9,21,5,12,3,4,1,3.0,36.93333333333334
3,2,2,3,0,5,0,4,14,5,11,1,3,3,4,4,12.0,27.749999999999996
4,1,2,4,0,0,2,3,2,1,4,0,2,0,0,2,10.0,23.049999999999997
9,2,2,2,0,3,3,4,2,1,4,0,3,0,0,2,4.0,20.549999999999997
13,3,5,0,4,1,1,8,5,2,8,0,0,1,2,3,3.0,21.566666666666666
8,2,6,4,0,3,2,8,2,1,7,0,3,0,0,2,11.0,26.183333333333337
5,0,2,1,0,2,4,2,13,5,10,3,7,0,0,0,14.0,24.033333333333335
10,1,0,0,0,0,0,1,2,1,3,0,2,0,0,1,4.0,6.016666666666665
11,3,1,1,0,0,1,4,6,3,5,0,1,0,0,1,4.0,13.483333333333338
