quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
,78,8:43,1:01:25,-9,c2z6m,16,zone,,
,79,8:14,1:01:55,13,c4z1m,8,stagger RR,,
,79,8:12,1:01:55,13,f,,stagger RR,,
,79,8:12,1:01:55,13,mf,,stagger RR,,
,80,8:03,1:02:55,-6,c3z4,15,zone,,
,81,7:55,1:03:00,9,TO,21,,charge,
,82,7:40,1:03:30,-21,c4z1,13,zone,,
,83,7:17,1:03:55,2,c3z1m,8,wheel,split,
,83,7:15,1:03:55,13,c3z1m,8,wheel,split,
,84,7:08,1:04:05,-10,c4z1m,20,transition,,
,85,6:51,1:04:15,3,f,,transition,,
,85,6:51,1:04:15,3,f,,transition,,
,86,6:37,1:05:10,-5,c4z3m,14,zone,press,
,87,6:27,1:05:20,2,c2z7m,18,transition,,
,88,6:18,1:05:30,-9,c2z5m,20,transition,,
,89,6:08,1:05:40,2,TO,18,transition,,
,90,5:50,1:06:00,-5,f,,zone,,
,90,5:50,1:06:00,-5,f,,zone,,
,,5:50,,,sub,,,,1/5/8/10/11
,91,5:28,1:07:15,5,c4z3m,2,wheel,flip,
,92,5:10,1:08:10,-6,TO,4,zone,press,
,93,5:04,1:08:18,11,c4z1,20,transition,,
,94,4:48,1:08:35,-7,c2z9m,18,zone,press,
,95,4:27,1:08:55,8,c2z7m,8,motion,,
,96,4:17,1:09:05,-15,c2z1m,20,transition,,
,96,4:16,1:09:05,-15,c3z1,19,transition,,
,97,3:56,1:09:30,1,c2z5m,8,motion,,
,98,3:34,1:09:50,-15,c2z3,14,zone,press,
,99,3:11,1:10:10,10,c3z6m,14,wheel,flip,
,99,3:02,1:10:20,5,c2z9,6,wheel,flip,
,100,2:50,1:10:30,-15,TO,14,zone,press,
,101,2:42,1:10:40,5,c2z9,16,transition,,
,102,2:28,1:10:50,-15,c4z1,18,zone,press,
,102,2:28,1:10:50,-15,mf,,zone,press,
,,2:28,,,sub,,,,1/5/7/10/12
,102,2:21,1:11:25,-15,c3z3,8,zone,,
,103,1:55,1:12:15,10,c3z5m,8,,,
,104,1:48,1:12:25,-6,TO,19,transition,,
,105,1:44,1:14:30,7,TO,20,quick,opp zone,
,106,1:32,1:14:45,-10,TO,14,zone,,
,107,1:14,1:15:00,10,c1z7m,8,wheel,flip,
,108,0:59,1:15:15,-5,TO,14,zone,press,
,109,0:54,1:15:23,5,c2z8m,20,transition,,
,110,0:34,1:15:40,-5,TO,8,zone,,
,111,0:05,1:16:45,10,c2z7,5,wheel,,
q4,,10:00,,,sub,,,,1/5/7/9/13
,112,9:55,1:19:15,-9,c2z9m,19,zone,,
,113,9:33,1:19:35,5,c2z7m,5,wheel,split,
,114,9:18,1:19:50,-10,TO,16,zone,,
,115,9:02,1:20:10,1,f,,motion,,
,115,9:02,1:20:10,1,mf,,motion,,
,115,8:55,1:20:50,13,mf,,,,
,115,8:55,1:20:50,13,mf,,,,
,115,8:34,1:21:25,7,c3z1,6,motion,,
