quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
q1,,10:00,,,sub,,,,2/3/4/9/13
,1,9:45,6:11,13,c3z1,9,wheel,flip,
,2,9:28,6:46,-21,TO,6,man,,
,3,9:13,7:06,13,c4z1m,11,motion,,
,4,9:01,7:20,-13,c2z8m,14,zone,,
,4,8:55,7:40,-10,f,,zone,,
,4,8:55,7:40,-10,f,,zone,,
,5,8:51,8:10,2,TO,20,,opp press,
,6,8:49,8:16,-10,c3z1,21,transition,,
,7,8:46,8:20,13,TO,21,,,
,8,8:34,8:36,-5,c4z1m,18,zone,,
,9,8:28,9:02,3,c3z1,10,pnr #9,,
,10,8:19,9:13,-13,f,,zone,,
,10,8:19,9:13,-13,mf,,zone,,
,11,7:57,10:10,9,c4z1m,6,motion,,
,11,7:48,10:20,4,c2z3m,3,motion,,
,11,7:40,10:44,4,c2z9m,6,BLOB cross,,
,11,7:37,10:45,13,c3z1,10,,,
,12,7:32,10:55,-10,c2z8,19,zone,,
,13,7:07,11:45,13,f,,pnr,,
,13,7:07,11:45,13,f,,pnr,,
,,7:07,,,sub,,,,2/3/4/11/13
,14,6:55,12:25,-13,c4z8,12,zone,,
,15,6:41,12:42,3,c2z6m,13,drive+kick,,
,6:38,,,sub,,,,3/5/8/11/13
,15,6:26,13:20,5,c2z8m,6,,,
,15,6:20,13:25,11,c4z1,8,,,
,16,6:14,13:36,-13,c1z9m,20,man,,
,17,5:51,14:00,13,c4z7m,4,pnr,,
,17,5:47,14:04,8,c4z1m,8,pnr,,
,18,5:35,14:15,-5,c3z3m,12,man,,
,19,5:21,14:30,3,TO,10,post up,,
,20,5:15,14:35,-13,c2z1,20,transition,,
,21,5:09,14:44,3,f,,quick,,
,21,5:09,14:44,3,f,,quick,,
,,5:09,,,sub,,,,2/5/8/10/11
,22,4:54,16:00,-15,c4z1m,9,zone,,
,23,4:46,16:10,11,c2z1,18,transition,,
,24,4:38,16:20,-13,c3z4,12,zone,,
,25,4:19,16:40,8,c2z9m,6,motion,,
,26,4:07,15:56,-5,TO,13,man,,
,27,3:56,17:15,10,c3z7,10,wheel,flip,
,,3:41,,,sub,,,,1/2/8/10/11
,28,3:40,18:05,-11,c3z1,6,man,,
,29,3:30,18:15,2,TO,14,wheel,* bad pass,
,,3:29,,,sub,,,,1/2/8/10/13
,30,3:20,18:35,-5,TO,15,man,,
,31,3:15,18:40,2,c3z1m,19,transition,,
,32,3:12,18:47,-15,TO,23,,,
,33,2:56,19:30,8,f,,wheel,,
,33,2:56,19:30,8,f,,wheel,,
,34,2:43,20:15,-11,c1z9m,11,zone,*,
,34,2:39,20:20,-13,c2z3,10,zone,,
,35,2:25,20:40,2,c3z3m,10,wheel,split,
,36,2:15,20:45,-13,c3z6m,18,zone,2-3,
,37,1:58,21:50,10,f,,motion,,
,37,1:58,21:50,10,f,,motion,,
,,1:58,,,sub,,,,1/2/7/12/13
,38,1:41,22:40,-11,c2z1m,7,zone,,
,39,1:34,22:50,13,c2z6m,18,transition,,
,40,1:24,23:00,-15,c3z5m,18,zone,,
,41,1:11,23:10,2,c3z3,16,pnr #13,,
,42,1:02,23:25,-13,c2z8m,19,zone,,
,43,0:48,23:35,12,TO,10,post up,,
,44,0:39,24:00,-11,TO,15,zone,,
,45,0:20,24:35,1,c4z3m,5,,opp zone,
,45,0:18,24:35,13,c3z1m,13,,opp zone,
,46,0:07,25:20,-6,f,,transition,,
,46,0:07,25:20,-6,f,,transition,,
,47,0:01,24:45,2,TO,1,,,
q2,,10:00,,,sub,,,,3/4/5/12/13
,48,9:42,28:20,-5,c4z2,6,zone,1-3-1,
,49,9:34,28:40,5,c2z6m,16,motion,,
,50,9:25,28:50,-5,TO,18,zone,2-3,
,51,9:16,29:13,3,c1z7m,10,BLOB cross,,
,52,9:02,29:25,-21,TO,10,zone,,
,53,8:55,29:40,3,f,,transition,,
,53,8:55,29:40,3,f,,transition,,
,,8:55,,,sub,,,,3/4/5/9/13
,54,8:36,30:30,-11,c3z6m,4,zone,*,
,54,8:32,30:35,-5,TO,6,zone,,
,55,8:17,30:50,13,c4z1m,9,motion,,
,56,8:02,31:20,-5,c3z5m,9,zone,,
,57,7:52,31:30,5,c3z8m,14,transition,,
,58,7:39,31:45,-11,c3z5m,10,zone,,
,,7:36,,,sub,,,,2/3/4/9/13
,58,7:28,32:20,-11,TO,6,zone,,
,59,7:19,32:30,13,c4z1,18,transition,,
,60,6:44,35:00,-5,TO,1,zone,*,
