quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
,78,9:28,1:10:52,4,c2z5m,10,motion,
,79,9:13,1:11:05,-11,c3z6,13,man,
,80,8:53,1:11:20,4,c2z8m,13,,
,81,8:49,1:11:30,-4,c2z6m,19,transition,
,81,8:45,1:11:34,-11,c1z7m,14,man,
,82,8:29,1:12:05,2,f,,wheel,
,,,,2,f,,,
,,,,2,mf,,,
,83,8:08,1:13:18,-21,c3z3,3,man,
,84,7:53,1:13:40,11,mf,,,
,,,,11,f,,,
,85,7:12,1:15:06,-99,TO,0,man,shot clock violation
,86,7:05,1:15:30,2,TO,18,,
,87,7:00,1:15:37,-10,c3z1m,21,transition,
,88,6:49,1:15:49,1,c2z3m,15,,
,88,6:39,1:16:15,9,c2z7m,7,motion,
,,6:36,,,sub,,,,1/2/8/9/10
,89,6:21,1:16:53,-10,c3z5,9,man,*
,90,6:09,1:17:03,1,TO,17,,
,91,6:08,1:17:31,-10,mf,,,clear path foul?
,,,,-10,mf,,,
,,6:08,,,sub,,,,2/5/8/9/10
,91,6:05,1:18:08,-11,c2z6,12,man,* go over that screen
,92,5:47,1:18:26,5,c3z6m,11,wheel,
,93,5:31,1:18:42,-12,TO,12,man,
,94,5:28,1:18:45,2,c3z1m,22,transition,
,94,5:27,1:18:47,9,c3z1,21,transition,
,95,5:12,1:19:20,-11,c3z8m,18,man,
,96,5:04,1:19:25,2,c2z6,19,transition,
,97,4:40,1:19:50,-21,c3z9m,4,zone,
,98,4:29,1:20:03,2,c3z6m,17,motion,
,98,4:17,1:20:15,10,TO,7,,
,,4:17,,,sub,,,,2/5/8/10/12
,99,3:59,1:21:35,-4,c3z8m,9,man,
,,3:56,,,sub,,,,1/5/8/10/12
,100,3:43,1:22:07,8,c2z3m,10,motion,
,101,3:20,1:22:28,-11,c4z4m,5,man,
,102,3:12,1:22:35,12,c3z1,20,transition,
,103,2:47,1:24:48,-4,TO,2,man,
,104,2:34,1:25:10,12,c3z7m,11,wheel,
,104,2:29,1:25:35,10,f,,,
,,,,10,mf,,,
,,2:26,,,sub,,,,1/2/8/10/12
,105,2:08,1:26:52,-10,c2z2,6,man,* losing guys
,106,1:43,1:27:16,12,c3z3m,5,,
,107,1:36,1:27:25,-12,TO,19,transition,
,,1:36,,,sub,,,,1/2/8/9/11
,108,1:23,1:28:05,2,c2z2,2,,
,109,1:01,1:28:26,-10,c3z1m,6,man,
