quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
q1,,10:00,,,sub,,,,2/3/8/9/12
,1,9:45,0:30,-3,c3z8,9,zone,,
,2,9:27,0:47,9,c2z8m,11,motion,,
,3,9:18,0:57,-77,c3z1,18,transition,,
,3,9:18,1:10,-77,f,,transition,,
,4,9:01,1:30,9,c4z1m,10,,,
,5,8:46,1:45,-101,c2z2,13,zone,,
,6,8:33,2:00,3,c2z7m,15,,,
,7,8:24,2:10,-3,c2z7m,19,transition,,
,8,8:12,2:20,3,TO,19,transition,,
,9,7:53,2:55,-15,c3z1,9,zone,,
,10,7:40,3:00,8,c2z6m,13,,,
,11,7:17,3:30,-3,c4z1m,5,zone,,
,12,6:54,3:50,2,c4z1,4,motion,,
,,6:44,,,sub,,,,1/2/8/10/12
,13,6:32,4:40,-3,c3z5m,5,zone,,
,14,6:22,4:50,12,TO,19,transition,,
,15,6:10,5:15,-3,c3z5m,14,zone,press,
,16,5:51,5:30,2,c3z6m,8,motion,,
,17,5:36,5:50,-102,c3z1,12,zone,,
,18,5:10,6:15,10,c4z9m,1,wheel,,
,19,4:56,6:26,-00,c3z3m,14,zone,,
,20,4:48,6:38,1,c2z7m,19,transition,,
,20,4:41,6:42,2,c4z1,11,transition,,
,21,4:27,6:55,-101,c3z9m,13,zone,,
,22,4:12,7:10,8,c3z4m,15,,,
,23,4:07,7:25,-3,c3z4,16,transition,,
,24,3:45,7:40,2,c4z4m,12,,,
,,3:35,,,sub,,,,1/5/7/10/11
,25,3:27,10:05,-3,c3z3m,10,zone,,
,26,3:15,10:20,11,c3z1m,16,transition,,
,27,2:56,10:40,-3,mf,,zone,,
,27,2:56,10:40,-3,f,,zone,,
,28,2:37,11:30,1,TO,11,wheel,flip,
,29,2:20,12:00,-99,TO,0,zone,shotclock violation,
,30,2:07,12:20,1,c2z6m,17,wheel,flip,
,30,1:55,12:30,10,c3z1,7,motion,,
,30,1:55,12:30,10,f,,motion,,
,31,1:35,13:25,-3,c3z8m,5,zone,press,
,31,1:28,13:35,-3,TO,1,zone,press,
,32,1:21,13:40,11,TO,19,transition,,
,33,1:12,13:50,-6,c2z5m,16,transition,,
,34,0:58,14:05,1,c2z5m,13,motion,,
,35,0:36,14:30,-77,c4z1m,7,zone,,
,36,0:25,14:40,11,mf,,transition,,
,36,0:25,14:40,11,mf,,transition,,
,37,0:05,15:40,-6,c4z1,5,zone,,
,37,0:05,15:40,-6,f,,zone,,
q2,,10:00,,,sub,,,,2/3/4/8/13
,38,9:46,0:18,13,f,,wheel,,
,38,9:46,0:18,13,f,,wheel,,
,39,9:20,1:20,-3,TO,2,zone,,
,40,9:03,1:50,8,c4z4m,9,wheel,,
,41,8:49,2:05,-3,TO,14,zone,,
,42,8:38,2:20,2,c3z5m,14,,*,
,43,8:10,2:55,-11,TO,1,zone,press,
,44,7:47,3:25,2,c3z8,4,wheel,,
,45,7:31,3:40,-11,c4z1m,16,zone,press,
,46,7:25,3:50,8,c3z4,19,transition,,
,47,6:50,4:40,-99,TO,0,zone,press/shotclock violation,
,48,6:36,6:10,4,TO,16,,,
,49,,,,,,,cannot see what happened,
,50,6:17,6:30,3,c3z8m,19,transition,,
,51,6:07,6:40,-11,TO,18,transition,,
,,6:07,,,sub,,,,2/4/5/8/11
,52,5:52,7:15,2,c2z7m,9,wheel,,
,53,5:27,7:40,-99,c4z1m,3,zone,cannot see what happened,
