lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['2', '3', '8', '9', '12']|q1|2.0|10.0|-8.0|10:00|0.0|06:44|3.2666666666666666|-8|3.2666666666666666
['1', '2', '8', '10', '12']|q1|4.0|14.0|-10.0|06:44|3.2666666666666666|03:35|6.416666666666667|-2|3.1500000000000004
['1', '5', '7', '10', '11']|q1|7.0|18.0|-11.0|03:35|6.416666666666667|00:00|10.0|-1|3.583333333333333
['2', '3', '4', '8', '13']|q2|14.0|18.0|-4.0|10:00|10.0|06:07|13.883333333333333|7|3.883333333333333
['2', '4', '5', '8', '11']|q2|16.0|18.0|-2.0|06:07|13.883333333333333|03:55|16.083333333333332|2|2.1999999999999993
['1', '3', '5', '10', '11']|q2|16.0|18.0|-2.0|03:55|16.083333333333332|03:16|16.733333333333334|0|0.6500000000000021
['1', '3', '5', '9', '10']|q2|21.0|21.0|0.0|03:16|16.733333333333334|00:00|20.0|2|3.2666666666666657
['2', '3', '4', '9', '13']|q3|29.0|27.0|2.0|10:00|20.0|06:14|23.766666666666666|2|3.7666666666666657
['1', '5', '7', '11', '12']|q3|32.0|32.0|0.0|06:14|23.766666666666666|02:03|27.95|-2|4.183333333333334
['1', '5', '7', '10', '12']|q3|35.0|34.0|1.0|02:03|27.95|00:00|35.0|1|2.050000000000001
['2', '3', '4', '9', '13']|q4|52.0|37.0|15.0|05:00|35.0|00:00|40.0|14|5.0
