lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['1', '2', '4', '9', '11']|q1|1.0|5.0|-4.0|10:00|0.0|06:20|3.6666666666666665|-4|3.6666666666666665
['2', '5', '8', '10', '11']|q1|5.0|5.0|0.0|06:20|3.6666666666666665|05:07|4.883333333333334|4|1.2166666666666672
['2', '5', '8', '10', '12']|q1|7.0|7.0|0.0|05:07|4.883333333333334|03:37|6.383333333333334|0|1.5
['1', '5', '8', '10', '12']|q1|9.0|7.0|2.0|03:37|6.383333333333334|02:10|7.833333333333333|2|1.4499999999999993
['1', '5', '8', '9', '12']|q1|9.0|8.0|1.0|02:10|7.833333333333333|01:39|8.35|-1|0.5166666666666666
['1', '4', '5', '9', '12']|q1|9.0|8.0|1.0|01:39|8.35|00:00|10.0|0|1.6500000000000004
['1', '2', '4', '9', '11']|q2|15.0|10.0|5.0|10:00|10.0|07:22|12.633333333333333|4|2.633333333333333
['1', '2', '4', '10', '11']|q2|17.0|13.0|4.0|07:22|12.633333333333333|05:12|14.8|-1|2.166666666666668
['2', '5', '8', '10', '12']|q2|22.0|20.0|2.0|05:12|14.8|01:29|18.516666666666666|-2|3.716666666666665
['2', '5', '8', '9', '12']|q2|25.0|23.0|2.0|01:29|18.516666666666666|00:00|20.0|0|1.4833333333333343
['1', '2', '4', '9', '11']|q3|28.0|28.0|0.0|10:00|20.0|06:36|23.4|-2|3.3999999999999986
['1', '2', '8', '9', '10']|q3|28.0|31.0|-3.0|06:36|23.4|06:08|23.866666666666667|-3|0.46666666666666856
['2', '5', '8', '9', '10']|q3|33.0|34.0|-1.0|06:08|23.866666666666667|04:17|25.716666666666665|2|1.8499999999999979
['2', '5', '8', '10', '12']|q3|33.0|34.0|-1.0|04:17|25.716666666666665|03:56|26.066666666666666|0|0.3500000000000014
['1', '5', '8', '10', '12']|q3|36.0|34.0|2.0|03:56|26.066666666666666|02:26|27.566666666666666|3|1.5
['1', '2', '8', '10', '12']|q3|36.0|36.0|0.0|02:26|27.566666666666666|01:36|28.4|-2|0.8333333333333321
['1', '2', '8', '9', '11']|q3|43.0|38.0|5.0|01:36|28.4|00:00|30.0|5|1.6000000000000014
['1', '2', '4', '9', '11']|q4|49.0|46.0|3.0|10:00|30.0|05:29|34.516666666666666|-2|4.516666666666666
['2', '4', '5', '8', '11']|q4|49.0|46.0|3.0|05:29|34.516666666666666|04:39|35.35|0|0.8333333333333357
['2', '4', '5', '8', '10']|q4|52.0|51.0|1.0|04:39|35.35|00:48|39.2|-2|3.8500000000000014
['2', '4', '5', '8', '11']|q4|56.0|51.0|5.0|00:48|39.2|00:00|40.0|4|0.7999999999999972
